Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,Type 1,Type 2,Type 3,Type 4,Unnamed: 11,Unnamed: 12,y2,Predicted Category
22555,64198,44805.375,support.pt@aspiegel.com,re  appgalleryproblems and suggestions,dear customer i would like to follow up on the case you raised on the date 2808phone  you have reported an issue in appgallery to proceed with the investigation would you please provide us with the following information 1 a description of the issue 2 a screenshot or record video of error 3 when issue happened 4 your huawei id app galleryhms coreopen then take a screenshot 5 your phone model 6 sn number of your device 7 app gallery version huawei app galleryme about 8 hms core version huawei app galleryhms coreopen settings about 9 related app 10 related app version 11 the log of app gallery if we do not hear from you within 48 hours we will close this ticket once the ticket is closed we will need to file a new ticket to receive further assistance which may cause delays in resolving the issue thank you for your understanding sincerely stela aspiegel customer support team a aspiegel se é uma empresa constituída segundo as leis da irlanda com sede em dublin irlanda aspiegel se é o provedor de huawei mobile services para huawei e honor proprietários de dispositivos na europa canadá austrália nova zelândia e outros países from  xxxxxxxxxcom sent  sunday 28 august phone 1549 to  xxxxxxxxxcom subject  appgalleryproblems and suggestions description old version contact information phone sent from my phone,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Others,,,,,Others,Others
23049,64540,44805.85139,support.pt@aspiegel.com,appgalleryproblémy a odporúčania,description failed to install update mi vydeoplayer contact information xxxxxxxxxcomopis zlyhava inštalacia aktualizácie mi vydeoplayer kontaktné informácie xxxxxxxxxcom,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,,,Problem/Fault,Problem/Fault
23012,64388,44805.61736,support.eu@aspiegel.com,informations,dear customer thank you for contacting person we hope youre doing well in order to give you the best solution could you please clarify your request with following information a description of the issue a screenshot or record video of error when issue happened your huawei id app galleryhms coreopen then take a screenshot your phone model sn number of your device app gallery version huawei app galleryme about hms core version huawei app galleryhms coreopen settings about related app related app version the log of app gallery if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts with kind regards marian person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  thursday 01 september phone 1542 to  xxxxxxxxxcom subject  appgalleryproblems and suggestions description haiii buba contact information beyekeitaxxxxxxxxxcom sent from my phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Others
23025,64447,44805.68333,support.eu@aspiegel.com,ynt re  unreceived huawei points,hello again here is the information you requested  1 my huawei id  xxxxxxxxxcom 2 your service country  turkey 2 the name of the game app  world of tanks blitz 3 the name of the campaign you participated in  app gallery game festival campaign 15 cashback 4 how many huawei pointscoupon i was meant to receive  about 9 tl 5 my discord account contact information  icebreaker phone gönderen xxxxxxxxxcom gönderildi 1 eylül phone perşembe 1653 kime xxxxxxxxxcom konu re  unreceived person dear customer thank you for contacting person we hope youre doing well this email is in regards to your concern about world of tanks blitz cashback to build better game experience we build discord channel to update you the latest game campaign discount activities and provide you direct services we recommend you to use our discord channel please go to huawei app gallerycampaignclick any valid campaign on the list find discord icon in the page  click the link and join if you have any difficulties using discord or you prefer us to handling the case will you please provide us following information for further investigation 1 your huawei id 2 your service country appgallery me settings country 2 the name of the game app 3 the name of the campaign you participated in 4 outline how many huawei pointscoupon you were meant to receive 5 your discord account contact information if applicable if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts we would very much appreciate your feedback on our email exchange as we need your opinion to continue to improve our service therefore we invite you to fill out the survey that will soon be sent to the email address you used to contact us sincerely person person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  thursday 01 september phone 1532 to  xxxxxxxxxcom subject  unreceived person hello i have recently made an ingame purchase world of tanks blitz but havent received 15 person because of that purchase my huawei account has the the same email with this one please transfer the relevant amount of huawei points into my account best regards phone,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault
22825,64438,44805.66875,support.fr@aspiegel.com,re  programme vip,cher client nous vous remercions davoir signalé ce problème si vous avez déjà suivi les étapes que nous vous avons conseillées appgallerymoimon compte paiement et achat coupondemander un autre coupon et que vous navez pas trouvé le coupon nous le vérifierons avec notre équipe interne et vous répondrons dès que possible cordialement stela léquipe dassistance à la clientèle daspiegel aspiegel se est une société de droit irlandais dont le siège est à loc en loc aspiegel se est le fournisseur de services mobiles huawei aux propriétaires dappareils huawei et honor en loc au loc en loc en loc et dans dautres pays from  xxxxxxxxxcom sent  thursday 01 september phone 1651 to  xxxxxxxxxcom subject  re re  programme vip bonjour et merci pour vos réponses je me suis rendu sur mon compte je nai encore rien reçu je ne sais pas sil y a un délai ou si ça devait être immédiat au moment où jai reçu votre mail jai bien suivi les instructions je ne pense pas avoir regardé au mauvais endroit dans le doute juste pour savoir si je dois attendre où sil y aurait un quelconque problème merci le mer 31 août phone à 1232  xxxxxxxxxcom a écrit  cher client nous espérons que vous allez bien nous vous apportons la réponse concernant votre problème après des contrôles internes nous pouvons vous informer que votre paiement cash en août utd était de 59447 euro le 23aoûtphone dans ce cas vous avez droit au coupon du 1er seuil de 50 euro de nos récompenses vip notre équipe de campagne vous enverra le coupon correspondant directement sur votre compte xxxxxxxxxcom afin de léchanger veuillez suivre le guide cidessous  galerie dapplicationsmoimon compte paiement et achat coupondemander un autre coupon en outre tous vos achats effectués pendant les autres jours du mois daoût peuvent encore être pris en compte pour réclamer dautres coupons vip vous pouvez continuer vos achats dans le jeu si vous avez atteint le niveau de dépenses supérieur notre équipe de campagne vous distribuera manuellement un autre coupon de récompense à la fin de ce mois à partir de septembre toutes les récompenses pourront être réclamées automatiquement sur notre page de campagne vip nous vous informons également que vous pouvez trouver notre équipe de campagne sur discord sous le nom de  kiwijunephone merci de votre confiance cordialement stela léquipe dassistance à la clientèle daspiegel aspiegel se est une société de droit irlandais dont le siège est à loc en loc aspiegel se est le fournisseur de services mobiles huawei aux propriétaires dappareils huawei et honor en loc au loc en loc en loc et dans dautres pays from  xxxxxxxxxcom sent  wednesday 31 august phone 0016 to  xxxxxxxxxcom subject  re re  programme vip re bonjour jai essayé vainement de prendre contact avec léquipe discord mais jamais personne ne ma répondu donc depuis je nai rien obtenu pas daide pas de solution pas de points rien je me retrouve dans une impasse le temps passe et jai limpression dêtre ignoré léquipe discord ne répond jamais ou une fois tout les 4 mois je ne vois pas comment la situation qui pourtant était clair dans nos échanges de mails peut devenir si compliqué alors que ça aurait dû être encore plus rapide jespère que vous pourrez mapporter une aide direct car par discord il est clair que je naurai jamais rien le mar 23 août phone à 1231  xxxxxxxxxcom a écrit  cher client léquipe discord en charge a vérifié et le jeu the walking dead  survivors nest pas dans la liste des jeux du système vip locils lajouteront bientôt léquipe discord loc vous compensera en vous donnant des points huawei en fonction de votre paiement dès que possible nous vous demandons donc de bien vouloir contacter léquipe discord via le lien suivant  httpsdiscordgg3btjjqhcpe merci pour votre compréhension et votre coopération nous vous serions reconnaissants de nous faire part de vos commentaires concernant notre échange demails car nous avons besoin de votre avis pour continuer à améliorer notre service cest pourquoi nous vous invitons à remplir le questionnaire qui vous parviendra bientôt à ladresse électronique que vous avez utilisée pour nous contacter si vous avez dautres questions nhésitez pas à répondre à cet email et nous serons heureux de vous aider à résoudre vos doutes cordialement per dassistance à la clientèle daspiegel aspiegel se est une société de droit irlandais dont le siège est à loc en loc aspiegel se est le fournisseur de services mobiles huawei aux propriétaires dappareils huawei et honor en loc au loc en loc en loc et dans dautres pays from  xxxxxxxxxcom sent  monday 22 august phone 1301 to  xxxxxxxxxcom subject  re re  programme vip bonjour comme demandé jenvoie les informations demandées xxxxxxxxxcom_01 loc the walking dead  survivors programme vip août je nai aucune idée du nombre de points que jaurai du recevoir je suis désolé de ne pouvoir répondre à cette question discord killflaker phone le dim 21 août phone à 1559  xxxxxxxxxcom a écrit  cher client merci davoir contacté aspiegel nous espérons que vous allez bien cet email est à propos de votre demande concernant le cashback pour le programme vip pour améliorer lexpérience de jeu nous avons créé un canal discord pour vous tenir au courant des dernières campagnes de jeu des activités de réduction et pour vous fournir des services directs nous vous recommandons dutiliser notre canal discord nous vous recommandons de nous contacter via le canal discord httpsdiscordgg3btjjqhcpe depuis votre ordinateur directement si vous avez des difficultés à utiliser discord ou si vous préférez que nous traitions le cas veuillez nous fournir les informations suivantes pour une enquête plus approfondie  1 votre identifiant huawei 2 votre pays de service appgallery moi paramètres loc le nom de lapplication jeu 3 le nom de la campagne à laquelle vous avez participé 4 indiquez combien de points huawei vous deviez recevoir 5 les coordonnées de votre compte discord le cas échéant si vous avez dautres questions nhésitez pas à répondre à cet email et nous serons heureux de vous aider à résoudre vos doutes cordialement stela léquipe dassistance à la clientèle daspiegel aspiegel se est une société de droit irlandais dont le siège est à loc en loc aspiegel se est le fournisseur de services mobiles huawei aux propriétaires dappareils huawei et honor en loc au loc en loc en loc et dans dautres pays from  xxxxxxxxxcom sent  sunday 21 august phone 1532 to  xxxxxxxxxcom subject  programme vip bonjour jai un petit souci avec le programme vip du mois daoût jusquà maintenant il mindique toujours 0 euro dépensé alors que jai effectué beaucoup de dépenses je ne comprends pas car le mois précédent tout allait bien je vous ajoute les captures décrans de mes dépenses mon compte huawei est avec cette adresse email par laquelle je prends contact mon pseudo est per et mon numéro de mobile est le phone jutilise 2 smartphones un huawei et un autre dun autre fabricant jespère avoir fourni toutes les informations nécessaires pour la résolution de mon problème merci phone phone phone,AppGallery &amp; Games / Unable to claim the prize/points/coupons,AppGallery &amp; Games ,Problem/Fault,Coupon/Gifts/Points Issues,Can't use or acquire,,,Problem/Fault,Problem/Fault
23193,64944,,support.pt@aspiegel.com,appgalleryproblemer og forslag,beskrivelse installation fejl kontaktoplysninger phone per,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,Problem/Fault
23748,66706,,support.pt@aspiegel.com,appgalleryproblems and suggestions,description  contact information axxxxxxxxxcom,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others,,,Suggestion,Problem/Fault
22978,64246,44805.43056,support.pt@aspiegel.com,appgalleryproblems and suggestions,description nu merge instalat contact information vxxxxxxxxxcom sent from my huawei phone,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,Problem/Fault
22972,64235,44805.42292,support.pt@aspiegel.com,appgalleryprobleme și sugestii,descriere nu merge stumble guysul informații contact nu pot spune trimis de pe telefonul meu huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,Problem/Fault
22924,64323,44805.53611,support.eu@aspiegel.com,re re  refund request,huawei id phone video of charge httpsyoutubecomshortsnppd0mzfgpgfeatureshare on thu 1 sept phone at 1315 wrote dear customer thank you for your reply unfortunately our internal tools do not allow access to folders from google drive could you please send them in another format also could you please provide us with you huawei id thank you for your understanding and cooperation sincerely alexandru person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  thursday 01 september phone 0837 to  xxxxxxxxxcom subject  re re  refund request screenshot_phone_phone_comhuaweihwidjpg svid_phone_phone_1mp4 on wed 31 aug phone at 2039  xxxxxxxxxcom wrote dear customer thank you for contacting person we hope youre doing well i will do my very best to assist you this email is regarding your refund request in order to give you the best solution please provide us with the following information  a screenshot or record video of the charge  your huawei id app galleryhms coreopen then take a screenshot if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely alexandru person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  wednesday 31 august phone 2026 to  xxxxxxxxxcom subject  refund request the game is allowing illegal third party transactions and its not fair for players purchasing through legal and legit platforms to recharge so i demand at least a partial refund from the app kingdom guard phone phone,AppGallery &amp; Games / Refund request: accidental purchase  ( item),AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund,,,Problem/Fault,Problem/Fault
23683,67915,,support.eu@aspiegel.com,re re  aspiegel support issue submit,sure the country of my app gallery and my country is portugal i cant enter on discord sorry i dont understand it a qui 8 de set de phone 1307 escreveu dear customer this email is regarding your concern about person voucher we recommend that you contact us through the discord channel httpsdiscordggtkyzc5cagu directly from your computer if you are having difficulty using discord or if you prefer us to handle the case please provide us with the following information for further investigation  your country of service appgallery me settings country  your discord contact information if applicable if you have any further questions please reply to this email and we will be happy to help you with your doubts sincerely andrea person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  thursday 08 september phone 1348 to  xxxxxxxxxcom subject  re re  person support issue submit i have to an account there also i dont speak german  xxxxxxxxxcom escreveu no dia quinta 809phone às 1208 sehr geehrter kunde wir empfehlen ihnen uns über den discordkanal httpsdiscordggtkyzc5cagu direkt von ihrem computer aus zu kontaktieren person haben discord zu benutzen oder wenn sie es vorziehen dass wir den fall bearbeiten geben sie uns bitte folgende informationen für weitere untersuchungen  ihr dienstland appgallery ich einstellungen land  ihre discordkontaktinformationen falls zutreffend wenn sie weitere fragen haben antworten sie bitte auf diesen email und wir helfen ihnen gerne bei ihren zweifeln weiter person andrea person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  thursday 08 september phone 1220 to  xxxxxxxxxcom subject  re re  person support issue submit hello  good morning so the campaign name was xmas download and win play pt as you will see in the screenshot i will send you and i won a voucher to use it in a online store called person but now person is a part of other companystore called person and whats my huawei id service country thanks in advance a ter 6 de set de phone 1216  xxxxxxxxxcom escreveu dear customer thank you for contacting person we hope youre doing well this email is regarding your concern about person worry i will do my best to solve your problem as soon as possible in order to analyze your case in detail i will need the following information from you error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely silvia person customer support team person se is a company incorporated under the laws of ireland with its headquarters in dublin ireland person se is the provider of huawei mobile services to huawei and honor device owners in loc canada australia new zealand and other countries from  xxxxxxxxxcom sent  tuesday 06 september phone 1217 to  xxxxxxxxxcom subject  person support issue submit product appgallery  games requests using appgallery ie manage service country contact full name inês lavrador ramos phone number phone contact email address xxxxxxxxxcom summary of the issue good morning i would like to know how i can use a voucher that i won on app gallery since the store now was put together with other store and i still have the voucher to use thanks in advance home  news  events  products  partners  support copyright person se phone phone phone,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,,,Suggestion,Problem/Fault
22964,64204,44805.38125,support.pt@aspiegel.com,bonus place my re supportpt 自动回复 appgalleryпроблемы и предложения,nan,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,Problem/Fault
